% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.025	1	1	3	6	1	0	81	0	0	0
0.04	1	1	5	1	1	28	2196	0	0	0
0.041	1	1	5	2	1	28	2196	0	0	0
0.056	1	1	6	7	1	28	2196	0	0	0
0.063	1	1	7	4	1	28	2196	0	0	0
0.073	1	1	8	4	1	28	2196	0	0	0
0.083	1	1	9	4	1	28	2196	0	0	0
0.093	1	1	10	4	1	28	2196	0	0	0
0.103	1	1	11	4	1	28	2196	0	0	0
0.113	1	1	12	4	1	28	2196	0	0	0
0.123	1	1	13	4	1	28	2196	0	0	0
0.133	1	1	14	4	1	28	2196	0	0	0
0.143	1	1	15	4	1	28	2196	0	0	0
0.153	1	1	16	4	1	28	2196	0	0	0
0.163	1	1	17	4	1	28	2196	0	0	0
0.173	1	1	18	4	1	28	2196	0	0	0
0.183	1	1	19	4	1	28	2196	0	0	0
0.193	1	1	20	4	1	28	2196	0	0	0
0.203	1	1	21	4	1	28	2196	0	0	0
0.205	1	1	21	6	1	28	2196	0	0	0
0.213	1	1	22	4	1	28	2196	0	0	0
0.223	1	1	23	4	1	28	2196	0	0	0
0.233	1	1	24	4	1	28	2196	0	0	0
0.243	1	1	25	4	1	28	2196	0	0	0
0.253	1	1	26	4	1	28	2196	0	0	0
0.263	1	1	27	4	1	28	2196	0	0	0
0.273	1	1	28	4	1	28	2196	0	0	0
0.283	1	1	29	4	1	28	2196	0	0	0
0.293	1	1	30	4	1	28	2196	0	0	0
0.301	1	1	31	2	1	28	2196	0	0	0
0.32	2	1	33	1	1	28	2196	0	0	0
0.321	2	1	33	2	1	28	2196	0	0	0
0.322	2	1	33	3	1	28	2196	0	0	0
0.323	2	1	33	4	1	28	2196	0	0	0
0.324	2	1	33	5	1	28	2196	0	0	0
0.333	2	1	34	4	1	28	2196	0	0	0
0.335	2	1	34	6	1	28	2196	0	0	0
0.343	2	1	35	4	1	28	2196	0	0	0
0.353	2	1	36	4	1	28	2196	0	0	0
0.363	2	1	37	4	1	28	2196	0	0	0
0.373	2	1	38	4	1	28	2196	0	0	0
0.383	2	1	39	4	1	28	2196	0	0	0
0.393	2	1	40	4	1	28	2196	0	0	0
0.403	2	1	41	4	1	28	2196	0	0	0
0.405	2	1	41	6	1	28	2196	0	0	0
0.413	2	1	42	4	1	28	2196	0	0	0
0.423	2	1	43	4	1	28	2196	0	0	0
0.433	2	1	44	4	1	28	2196	0	0	0
0.443	2	1	45	4	1	28	2196	0	0	0
0.453	2	1	46	4	1	28	2196	0	0	0
0.463	2	1	47	4	1	28	2196	0	0	0
0.473	2	1	48	4	1	28	2196	0	0	0
0.483	2	1	49	4	1	28	2196	0	0	0
0.493	2	1	50	4	1	28	2196	0	0	0
