% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
27	1	1	1	0	0	81	0	1	0
42	1	1	1	0	28	2196	0	1	0
43	1	1	1	0	28	2196	0	1	0
58	1	1	1	0	28	2196	0	1	0
65	1	1	1	0	28	2196	0	1	0
75	1	1	1	0	28	2196	0	1	0
85	1	1	1	0	28	2196	0	1	0
95	1	1	1	0	28	2196	0	1	0
105	1	1	1	0	28	2196	0	1	0
115	1	1	1	0	28	2196	0	1	0
125	1	1	1	0	28	2196	0	1	0
135	1	1	1	0	28	2196	0	1	0
145	1	1	1	0	28	2196	0	1	0
155	1	1	1	0	28	2196	0	1	0
165	1	1	1	0	28	2196	0	1	0
175	1	1	1	0	28	2196	0	1	0
185	1	1	1	0	28	2196	0	1	0
195	1	1	1	0	28	2196	0	1	0
205	1	1	1	0	28	2196	0	1	0
207	1	1	1	0	28	2196	0	1	0
215	1	1	1	0	28	2196	0	1	0
225	1	1	1	0	28	2196	0	1	0
235	1	1	1	0	28	2196	0	1	0
245	1	1	1	0	28	2196	0	1	0
255	1	1	1	0	28	2196	0	1	0
265	1	1	1	0	28	2196	0	1	0
275	1	1	1	0	28	2196	0	1	0
285	1	1	1	0	28	2196	0	1	0
295	1	1	1	0	28	2196	0	1	0
303	1	1	1	0	28	2196	0	1	0
322	2	1	1	0	28	2196	0	1	0
323	2	1	1	0	28	2196	0	1	0
324	2	1	1	0	28	2196	0	1	0
325	2	1	1	0	28	2196	0	1	0
326	2	1	1	0	28	2196	0	1	0
335	2	1	1	0	28	2196	0	1	0
337	2	1	1	0	28	2196	0	1	0
345	2	1	1	0	28	2196	0	1	0
355	2	1	1	0	28	2196	0	1	0
365	2	1	1	0	28	2196	0	1	0
375	2	1	1	0	28	2196	0	1	0
385	2	1	1	0	28	2196	0	1	0
395	2	1	1	0	28	2196	0	1	0
405	2	1	1	0	28	2196	0	1	0
407	2	1	1	0	28	2196	0	1	0
415	2	1	1	0	28	2196	0	1	0
425	2	1	1	0	28	2196	0	1	0
435	2	1	1	0	28	2196	0	1	0
445	2	1	1	0	28	2196	0	1	0
455	2	1	1	0	28	2196	0	1	0
465	2	1	1	0	28	2196	0	1	0
475	2	1	1	0	28	2196	0	1	0
485	2	1	1	0	28	2196	0	1	0
495	2	1	1	0	28	2196	0	1	0
