% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.033	1	1	4	4	1	0	85	0
0.049	1	1	5	10	1	28	2292	0
0.058	1	1	6	9	1	28	2292	0
0.068	1	1	7	9	1	28	2292	0
0.078	1	1	8	9	1	28	2292	0
0.088	1	1	9	9	1	28	2292	0
0.098	1	1	10	9	1	28	2292	0
0.108	1	1	11	9	1	28	2292	0
0.118	1	1	12	9	1	28	2292	0
0.128	1	1	13	9	1	28	2292	0
0.138	1	1	14	9	1	28	2292	0
0.148	1	1	15	9	1	28	2292	0
0.158	1	1	16	9	1	28	2292	0
0.168	1	1	17	9	1	28	2292	0
0.178	1	1	18	9	1	28	2292	0
0.188	1	1	19	9	1	28	2292	0
0.198	1	1	20	9	1	28	2292	0
0.206	1	1	21	7	1	28	2292	0
0.208	1	1	21	9	1	28	2292	0
0.209	1	1	21	10	1	28	2292	0
0.218	1	1	22	9	1	28	2292	0
0.228	1	1	23	9	1	28	2292	0
0.238	1	1	24	9	1	28	2292	0
0.248	1	1	25	9	1	28	2292	0
0.258	1	1	26	9	1	28	2292	0
0.268	1	1	27	9	1	28	2292	0
0.278	1	1	28	9	1	28	2292	0
0.288	1	1	29	9	1	28	2292	0
0.298	1	1	30	9	1	28	2292	0
0.313	2	1	32	4	1	0	85	0
0.318	2	1	32	9	1	0	85	0
0.319	2	1	32	10	1	0	85	0
0.32	2	1	33	1	1	0	85	0
0.321	2	1	33	2	1	28	2292	0
0.328	2	1	33	9	1	28	2292	0
0.329	2	1	33	10	1	28	2292	0
0.338	2	1	34	9	1	28	2292	0
0.348	2	1	35	9	1	28	2292	0
0.358	2	1	36	9	1	28	2292	0
0.368	2	1	37	9	1	28	2292	0
0.378	2	1	38	9	1	28	2292	0
0.388	2	1	39	9	1	28	2292	0
0.398	2	1	40	9	1	28	2292	0
0.406	2	1	41	7	1	28	2292	0
0.408	2	1	41	9	1	28	2292	0
0.409	2	1	41	10	1	28	2292	0
0.418	2	1	42	9	1	28	2292	0
0.428	2	1	43	9	1	28	2292	0
0.438	2	1	44	9	1	28	2292	0
0.448	2	1	45	9	1	28	2292	0
0.458	2	1	46	9	1	28	2292	0
0.468	2	1	47	9	1	28	2292	0
0.478	2	1	48	9	1	28	2292	0
0.488	2	1	49	9	1	28	2292	0
