% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	2159.62	0
0.081	1	1	1	2166.56	0
0.121	1	1	1	2173.53	0
0.161	1	1	1	2180.54	0
0.201	1	1	1	2187.58	0
0.241	1	1	1	2194.65	0
0.281	1	1	1	2201.76	0
0.321	1	1	1	2208.9	0
0.361	1	1	1	2216.08	0
0.401	1	1	1	2223.3	0
0.441	1	1	1	2230.54	0
0.481	1	1	1	2237.83	0
0.521	1	1	1	2245.15	0
0.561	1	1	1	2252.5	0
0.601	1	1	1	2259.89	0
0.641	1	1	1	2267.32	0
0.681	1	1	1	2274.79	0
0.721	1	1	1	2282.29	0
0.761	1	1	1	2289.83	0
0.801	1	1	1	2297.4	0
0.841	1	1	1	2305.02	0
0.881	1	1	1	2312.67	0
0.921	1	1	1	2320.36	0
0.961	1	1	1	2328.09	0
1.001	1	1	1	2335.85	0
1.041	1	1	1	2343.66	0
1.081	1	1	1	2351.51	0
1.121	1	1	1	2359.39	0
1.161	1	1	1	2367.31	0
1.201	1	1	1	2375.28	0
1.241	1	1	1	2383.28	0
1.281	1	1	1	2391.33	0
1.321	1	1	1	2399.41	0
1.361	1	1	1	2407.54	0
1.401	1	1	1	2415.71	0
1.441	1	1	1	2423.92	0
1.481	1	1	1	2432.17	0
1.521	1	1	1	2440.47	0
1.561	1	1	1	2448.8	0
1.601	1	1	1	2457.18	0
1.641	1	1	1	2465.6	0
1.681	1	1	1	2474.07	0
1.721	1	1	1	2482.58	0
1.761	1	1	1	2491.13	0
1.801	1	1	1	2499.73	0
1.841	1	1	1	2508.37	0
1.881	1	1	1	2517.06	0
1.921	1	1	1	2525.79	0
1.961	1	1	1	2534.57	0
2.001	1	1	1	2543.4	0
2.041	1	1	1	2552.27	0
2.081	1	1	1	2561.18	0
2.121	1	1	1	2570.15	0
2.161	1	1	1	2579.16	0
2.201	1	1	1	2588.21	0
2.241	1	1	1	2597.32	0
2.281	1	1	1	2606.47	0
2.321	1	1	1	2615.68	0
2.361	1	1	1	2624.93	0
2.401	1	1	1	2634.23	0
2.441	1	1	1	2643.58	0
2.481	1	1	1	2652.98	0
2.521	1	1	1	2662.43	0
2.561	1	1	1	2671.93	0
2.601	1	1	1	2681.48	0
2.641	1	1	1	2691.08	0
2.681	1	1	1	2700.74	0
2.721	1	1	1	2710.44	0
2.761	1	1	1	2720.2	0
2.801	1	1	1	2730.01	0
2.841	1	1	1	2739.88	0
2.881	1	1	1	2749.8	0
2.921	1	1	1	2759.77	0
2.961	1	1	1	2769.8	0
3.001	1	1	1	2779.88	0
3.041	1	1	1	2790.02	0
3.081	1	1	1	2800.21	0
3.121	1	1	1	2810.46	0
3.161	1	1	1	2820.76	0
3.201	1	1	1	2831.12	0
3.241	1	1	1	2841.54	0
3.281	1	1	1	2852.02	0
3.321	1	1	1	2862.55	0
3.361	1	1	1	2873.14	0
3.401	1	1	1	2883.8	0
3.441	1	1	1	2894.51	0
3.481	1	1	1	2905.28	0
3.521	1	1	1	2916.11	0
3.561	1	1	1	2927	0
3.601	1	1	1	2937.95	0
3.641	1	1	1	2948.97	0
3.681	1	1	1	2960.04	0
3.721	1	1	1	2971.18	0
3.761	1	1	1	2982.38	0
3.801	1	1	1	2993.65	0
3.841	1	1	1	3004.98	0
3.881	1	1	1	3016.37	0
3.921	1	1	1	3027.83	0
3.961	1	1	1	3039.35	0
4.001	1	1	1	3050.94	0
4.041	1	1	1	3062.6	0
4.081	1	1	1	3074.32	0
4.121	1	1	1	3086.12	0
4.161	1	1	1	3097.97	0
4.201	1	1	1	3109.9	0
4.241	1	1	1	3121.9	0
4.281	1	1	1	3133.96	0
4.321	1	1	1	3146.1	0
4.361	1	1	1	3158.31	0
4.401	1	1	1	3170.58	0
4.441	1	1	1	3182.93	0
4.481	1	1	1	3195.36	0
4.521	1	1	1	3207.85	0
4.561	1	1	1	3220.42	0
4.601	1	1	1	3233.06	0
4.641	1	1	1	3245.78	0
4.681	1	1	1	3258.57	0
4.721	1	1	1	3271.44	0
4.761	1	1	1	3284.38	0
4.801	1	1	1	3297.4	0
4.841	1	1	1	3310.5	0
4.881	1	1	1	3323.68	0
4.921	1	1	1	3336.93	0
4.961	1	1	1	3350.27	0
5.001	1	1	1	3363.68	0
5.041	1	1	1	3377.18	0
5.081	1	1	1	3390.75	0
5.121	1	1	1	3404.41	0
5.161	1	1	1	3418.16	0
5.201	1	1	1	3431.98	0
5.241	1	1	1	3445.89	0
5.281	1	1	1	3459.88	0
5.321	1	1	1	3473.96	0
5.361	1	1	1	3488.13	0
5.401	1	1	1	3502.38	0
5.441	1	1	1	3516.72	0
5.481	1	1	1	3531.15	0
5.521	1	1	1	3545.67	0
5.561	1	1	1	3560.27	0
5.601	1	1	1	3574.97	0
5.641	1	1	1	3589.76	0
5.681	1	1	1	3604.64	0
5.721	1	1	1	3619.61	0
5.761	1	1	1	3634.68	0
5.801	1	1	1	3649.84	0
5.841	1	1	1	3665.1	0
5.881	1	1	1	3680.45	0
5.921	1	1	1	3695.9	0
5.961	1	1	1	3711.44	0
6.001	1	1	1	3727.09	0
6.041	1	1	1	3742.83	0
6.081	1	1	1	3758.68	0
6.121	1	1	1	3774.62	0
6.161	1	1	1	3790.67	0
6.201	1	1	1	3806.81	0
6.241	1	1	1	3823.07	0
6.281	1	1	1	3839.42	0
6.321	1	1	1	3855.88	0
6.361	1	1	1	3872.45	0
6.401	1	1	1	3889.13	0
6.441	1	1	1	3905.91	0
6.481	1	1	1	3922.8	0
6.521	1	1	1	3939.8	0
6.561	1	1	1	3956.91	0
6.601	1	1	1	3974.14	0
6.641	1	1	1	3991.47	0
6.681	1	1	1	4008.92	0
6.721	1	1	1	4026.49	0
6.761	1	1	1	4044.17	0
6.801	1	1	1	4061.96	0
6.841	1	1	1	4079.88	0
6.881	1	1	1	4097.91	0
6.921	1	1	1	4116.07	0
6.961	1	1	1	4134.34	0
7.001	1	1	1	4152.74	0
7.041	1	1	1	4171.26	0
7.081	1	1	1	4189.9	0
7.121	1	1	1	4208.67	0
7.161	1	1	1	4227.56	0
7.201	1	1	1	4246.59	0
7.241	1	1	1	4265.74	0
7.281	1	1	1	4285.02	0
7.321	1	1	1	4304.43	0
7.361	1	1	1	4323.97	0
7.401	1	1	1	4343.65	0
7.441	1	1	1	4363.46	0
7.481	1	1	1	4383.41	0
7.521	1	1	1	4403.5	0
7.561	1	1	1	4423.72	0
7.601	1	1	1	4444.09	0
7.641	1	1	1	4464.59	0
7.681	1	1	1	4485.24	0
7.721	1	1	1	4506.03	0
7.761	1	1	1	4526.96	0
7.801	1	1	1	4548.04	0
7.841	1	1	1	4569.27	0
7.881	1	1	1	4590.65	0
7.921	1	1	1	4612.18	0
7.961	1	1	1	4633.86	0
8.001	1	1	1	4655.69	0
8.041	1	1	1	4677.68	0
8.081	1	1	1	4699.82	0
8.121	1	1	1	4722.12	0
8.161	1	1	1	4744.59	0
8.201	1	1	1	4767.21	0
8.241	1	1	1	4789.99	0
8.281	1	1	1	4812.94	0
8.321	1	1	1	4836.05	0
8.361	1	1	1	4859.33	0
8.401	1	1	1	4882.78	0
8.441	1	1	1	4906.4	0
8.481	1	1	1	4930.19	0
8.521	1	1	1	4954.15	0
8.561	1	1	1	4978.29	0
8.601	1	1	1	5002.6	0
8.641	1	1	1	5027.1	0
8.681	1	1	1	5051.77	0
8.721	1	1	1	5076.63	0
8.761	1	1	1	5101.67	0
8.801	1	1	1	5126.89	0
8.841	1	1	1	5152.31	0
8.881	1	1	1	5177.91	0
8.921	1	1	1	5203.7	0
8.961	1	1	1	5229.69	0
9.001	1	1	1	5255.87	0
9.041	1	1	1	5282.25	0
9.081	1	1	1	5308.83	0
9.121	1	1	1	5325.86	0
9.161	1	1	1	5325.87	0
9.201	1	1	1	5325.87	0
9.241	1	1	1	5325.87	0
9.281	1	1	1	5325.88	0
9.321	1	1	1	5325.88	0
9.361	1	1	1	5325.88	0
9.401	1	1	1	5325.89	0
9.441	1	1	1	5325.89	0
9.481	1	1	1	5325.89	0
9.521	1	1	1	5325.9	0
9.561	1	1	1	5325.9	0
9.601	1	1	1	5325.9	0
9.641	1	1	1	5325.91	0
9.681	1	1	1	5325.91	0
9.721	1	1	1	5325.91	0
9.761	1	1	1	5325.92	0
9.801	1	1	1	5325.92	0
9.841	1	1	1	5325.93	0
9.881	1	1	1	5325.93	0
9.921	1	1	1	5325.93	0
9.961	1	1	1	5325.94	0
10.001	1	1	1	5325.94	0
10.041	1	1	1	5325.94	0
10.081	1	1	1	5325.95	0
10.121	1	1	1	5325.95	0
10.161	1	1	1	5325.95	0
10.201	1	1	1	5325.96	0
10.241	1	1	1	5325.96	0
10.281	1	1	1	5325.97	0
10.321	1	1	1	5325.97	0
10.361	1	1	1	5325.97	0
10.401	1	1	1	5325.98	0
10.441	1	1	1	5325.98	0
10.481	1	1	1	5325.99	0
10.521	1	1	1	5325.99	0
10.561	1	1	1	5325.99	0
10.601	1	1	1	5326	0
10.641	1	1	1	5326	0
10.681	1	1	1	5326.01	0
10.721	1	1	1	5326.01	0
10.761	1	1	1	5326.01	0
10.801	1	1	1	5326.02	0
10.841	1	1	1	5326.02	0
10.881	1	1	1	5326.03	0
10.921	1	1	1	5326.03	0
10.961	1	1	1	5326.03	0
11.001	1	1	1	5326.04	0
11.041	1	1	1	5326.04	0
11.081	1	1	1	5326.05	0
11.121	1	1	1	5326.05	0
11.161	1	1	1	5326.05	0
11.201	1	1	1	5326.06	0
11.241	1	1	1	5326.06	0
11.281	1	1	1	5326.07	0
11.321	1	1	1	5326.07	0
11.361	1	1	1	5326.08	0
11.401	1	1	1	5326.08	0
11.441	1	1	1	5326.09	0
11.481	1	1	1	5326.09	0
11.521	1	1	1	5326.09	0
11.561	1	1	1	5326.1	0
11.601	1	1	1	5326.1	0
11.641	1	1	1	5326.11	0
11.681	1	1	1	5326.11	0
11.721	1	1	1	5326.12	0
11.761	1	1	1	5326.12	0
