% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
39	1	1	1	0	0	85	0	1	0
55	1	1	1	0	28	2292	0	1	0
64	1	1	1	0	28	2292	0	1	0
74	1	1	1	0	28	2292	0	1	0
84	1	1	1	0	28	2292	0	1	0
94	1	1	1	0	28	2292	0	1	0
104	1	1	1	0	28	2292	0	1	0
114	1	1	1	0	28	2292	0	1	0
124	1	1	1	0	28	2292	0	1	0
134	1	1	1	0	28	2292	0	1	0
144	1	1	1	0	28	2292	0	1	0
154	1	1	1	0	28	2292	0	1	0
164	1	1	1	0	28	2292	0	1	0
174	1	1	1	0	28	2292	0	1	0
184	1	1	1	0	28	2292	0	1	0
194	1	1	1	0	28	2292	0	1	0
204	1	1	1	0	28	2292	0	1	0
212	1	1	1	0	28	2292	0	1	0
214	1	1	1	0	28	2292	0	1	0
215	1	1	1	0	28	2292	0	1	0
224	1	1	1	0	28	2292	0	1	0
234	1	1	1	0	28	2292	0	1	0
244	1	1	1	0	28	2292	0	1	0
254	1	1	1	0	28	2292	0	1	0
264	1	1	1	0	28	2292	0	1	0
274	1	1	1	0	28	2292	0	1	0
284	1	1	1	0	28	2292	0	1	0
294	1	1	1	0	28	2292	0	1	0
304	1	1	1	0	28	2292	0	1	0
319	2	1	1	0	0	85	0	1	0
324	2	1	1	0	0	85	0	1	0
325	2	1	1	0	0	85	0	1	0
326	2	1	1	0	0	85	0	1	0
327	2	1	1	0	28	2292	0	1	0
334	2	1	1	0	28	2292	0	1	0
335	2	1	1	0	28	2292	0	1	0
344	2	1	1	0	28	2292	0	1	0
354	2	1	1	0	28	2292	0	1	0
364	2	1	1	0	28	2292	0	1	0
374	2	1	1	0	28	2292	0	1	0
384	2	1	1	0	28	2292	0	1	0
394	2	1	1	0	28	2292	0	1	0
404	2	1	1	0	28	2292	0	1	0
412	2	1	1	0	28	2292	0	1	0
414	2	1	1	0	28	2292	0	1	0
415	2	1	1	0	28	2292	0	1	0
424	2	1	1	0	28	2292	0	1	0
434	2	1	1	0	28	2292	0	1	0
444	2	1	1	0	28	2292	0	1	0
454	2	1	1	0	28	2292	0	1	0
464	2	1	1	0	28	2292	0	1	0
474	2	1	1	0	28	2292	0	1	0
484	2	1	1	0	28	2292	0	1	0
494	2	1	1	0	28	2292	0	1	0
